Key,English,Traditional Chinese,Thai,Vietnamese,Indonesia,Brazilian Portuguese,Spanish,Russian,French,Turkish,Hindi,Arabic,Bengali
GAME_NAME,Last Safe Zone,最後的安全區,โซนปลอดภัยสุดท้าย,Đại Chiến Bo Cuối,Zona Aman Terakhir,Última Zona Segura,Última zona segura,Последняя безопасная зона,Dernière zone de sécurité,Son Güvenli Bölge,अंतिम सुरक्षित क्षेत्र,آخر منطقة آمنة,শেষ নিরাপদ অঞ্চল
GAME_DESCRIPTION,"Three squads, one area, one winning team. Fight to be the last one standing to take the victory!",三個小隊，一個區域，一支必勝隊伍。奮戰到最後，贏得勝利！,สามทีม หนึ่งพื้นที่ หนึ่งทีมผู้ชนะ สู้เพื่อเป็นผู้รอดชีวิตคนสุดท้ายเพื่อคว้าชัยชนะ!,"3 đội, 1 khu vực, 1 đội chiến thắng. Chiến đấu đến cuối cùng để giành chiến thắng.","Tiga regu, satu area, satu tim pemenang. Berjuanglah untuk menjadi yang terakhir bertahan dan meraih kemenangan!","Três esquadrões, uma área, uma equipe vencedora. Lute para ser o último sobrevivente a conquistar a vitória!","Tres escuadrones, una zona, un equipo ganador. ¡Lucha por ser el último en pie y alzarte con la victoria!","Три отряда, одна зона, одна команда-победитель. Сражайтесь, чтобы стать последним выжившим и одержать победу!","Trois escouades, une zone, une équipe gagnante. Battez-vous pour être le dernier survivant et remporter la victoire !","Üç takım, bir bölge, bir kazanan takım. Zafere ulaşmak için ayakta kalan son kişi olmak için mücadele edin!","तीन दस्ते, एक क्षेत्र, एक विजेता टीम। जीत हासिल करने के लिए आखिरी बचे व्यक्ति बनने के लिए लड़ें!",ثلاث فرق، منطقة واحدة، فريق فائز واحد. قاتل لتكون آخر من ينجو ويحقق النصر!,"তিনটি স্কোয়াড, একটি এলাকা, একটি বিজয়ী দল। শেষ হয়ে দাঁড়ানোর লড়াইয়ে জয় নিতে!"
SHOP_ICON_CONTENT,Shop,店鋪,ร้านค้า,Cửa hàng,Toko,Comprar,Comercio,Магазин,Boutique,Mağaza,दुकान,محل,দোকান
TEAM,Team {0},團隊 {0},ทีม {0},Đội {0},Tim {0},Equipe {0},Equipo {0},Команда {0},Équipe {0},Takım {0},टीम {0},الفريق {0},দল {0}
TEAM_1,Team 1,第一隊,ทีม 1,Đội 1,Tim 1,Equipe 1,Equipo 1,Команда 1,Équipe 1,Takım 1,टीम 1,الفريق 1,দল 1
TEAM_2,Team 2,第二隊,ทีม 2,Đội 2,Tim 2,Equipe 2,Equipo 2,Команда 2,Équipe 2,Takım 2,टीम 2,الفريق 2,দল 2
TEAM_3,Team 3,第 3 隊,ทีม 3,Đội 3,Tim 3,Equipe 3,Equipo 3,Команда 3,Équipe 3,Takım 3,टीम 3,الفريق 3,দল 3
SCBOARD_TITLE_RANK,Rank,秩,อันดับ,Thứ Hạng,Pangkat,Classificação,Rango,Классифицировать,Rang,Rütbe,रैंक,رتبة,পদমর্যাদা
SCBOARD_TITLE_TEAMNAME,Team Name,團隊名稱,ชื่อทีม,Tên Đội,Nama Tim,Nome da equipe,Nombre del equipo,Название команды,Nom de l'équipe,Takım Adı,टीम का नाम,اسم الفريق,দলের নাম
SCBOARD_TITLE_TOTALKILLS,Total Kills,總擊殺數,ฆ่าทั้งหมด,Tổng Hạ Gục,Total Pembunuhan,Total de mortes,Muertes totales,Всего убийств,Nombre total de victimes,Toplam Öldürme Sayısı,कुल हत्याएं,إجمالي القتلى,টোটাল কিলস
SCBOARD_TOOLTIP,Round starts!,回合開始！,เริ่มรอบแล้ว!,Trận đấu bắt đầu!,Babak dimulai!,A rodada começa!,¡La ronda comienza!,Раунд начинается!,Le tour commence !,Tur başlıyor!,दौर शुरू!,بدأت الجولة!,রাউন্ড শুরু!
ROUND_COUNTDOWN,Combat starts in,戰鬥開始於,การต่อสู้เริ่มต้นใน,Vòng đấu bắt đầu trong,Pertarungan dimulai di,O combate começa em,El combate comienza en,Бой начинается через,Le combat commence dans,Savaş başlıyor,युद्ध शुरू होता है,القتال يبدأ في,মধ্যে যুদ্ধ শুরু হয়
START_COUNTDOWN,The game will start shortly,比賽即將開始,เกมจะเริ่มเร็ว ๆ นี้,Trận đấu đang chuẩn bị bắt đầu,Permainan akan segera dimulai,O jogo começará em breve,El juego comenzará en breve.,Игра начнется скоро.,Le jeu va bientôt commencer,Oyun yakında başlayacak,खेल शीघ्र ही शुरू होगा,اللعبة سوف تبدأ قريبا,কিছুক্ষণের মধ্যেই খেলা শুরু হবে
ROUND_INFO,{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
ROUND_INFO_2,Round {0} - {1},第 {0} - {1} 輪,รอบ {0} - {1},Vòng {0} - {1},Putaran {0} - {1},Rodada {0} - {1},Ronda {0} - {1},Раунд {0} - {1},Tour {0} - {1},Tur {0} - {1},राउंड {0} - {1},الجولة {0} - {1},রাউন্ড {0} - {1}
ROUND_INFO_NOPARAM,Round,圓形的,กลม,Vòng,Bulat,Redondo,Redondo,Круглый,Rond,Yuvarlak,गोल,دائري,গোলাকার
ROUND_END_INFO,Round ended!,回合結束！,รอบนี้จบแล้ว!,Vòng đấu kết thúc!,Babak berakhir!,Rodada encerrada!,¡Ronda terminada!,Раунд окончен!,Le tour est terminé !,Tur bitti!,दौर समाप्त!,إنتهت الجولة!,রাউন্ড শেষ!
ROUND_END_SUBTITLE,Team {0} wins the round!,{0} 隊贏得本輪比賽！,ทีม {0} ชนะรอบนี้!,Đội {0} giành chiến thắng!,Tim {0} memenangkan ronde ini!,A equipe {0} vence a rodada!,¡El equipo {0} gana la ronda!,Команда {0} выигрывает раунд!,L'équipe {0} remporte la manche !,{0} takımı turu kazandı!,टीम {0} ने राउंड जीत लिया!,الفريق {0} يفوز بالجولة!,দল {0} রাউন্ড জিতেছে!
TARGET_UI_TITLE_TEXT,Target:,目標：,เป้า:,Mục tiêu:,Target:,Alvo:,Objetivo:,Цель:,Cible:,Hedef:,लक्ष्य:,هدف:,লক্ষ্য:
Temp,Count down: {0},倒數計時：{0},นับถอยหลัง: {0},,Hitung mundur: {0},Contagem regressiva: {0},Cuenta regresiva: {0},Обратный отсчет: {0},Compte à rebours : {0},Geri sayım: {0},उलटी गिनती: {0},العد التنازلي: {0},কাউন্ট ডাউন: {0}
TUT_BUTTON,Tutorial,教學,บทช่วยสอน,Hướng dẫn,Tutorial,Tutorial,Tutorial,Учебное пособие,Tutoriel,Eğitim,ट्यूटोरियल,درس تعليمي,টিউটোরিয়াল
TUT_SKIP_BTN,Skip,跳過,ข้าม,Bỏ qua,Melewati,Pular,Saltar,Пропускать,Sauter,Atlamak,छोडना,يتخطى,এড়িয়ে যান
TUT_S1,"Welcome to Last Safe Zone.
Engage in a narrow area, with the final safe zone, become the last team to survive.","歡迎來到最後的安全區。
在狹窄的區域內，利用最後的安全區，成為最後倖存的隊伍。","ยินดีต้อนรับสู่ Last Safe Zone
บุกเข้าไปในพื้นที่แคบๆ เมื่อถึงโซนปลอดภัยสุดท้าย กลายเป็นทีมสุดท้ายที่จะรอดชีวิต","Chào mừng đến với Đại Chiến Bo Cuối!
Cùng đồng đội chiến đấu trong khu vực vòng bo cuối cùng, trở thành đội cuối cùng sống sót.","Selamat datang di Zona Aman Terakhir.
Bertempurlah di area sempit, dan jadilah tim terakhir yang bertahan di zona aman terakhir.","Bem-vindos à Última Zona Segura.
Enfrentem uma área estreita e, na última zona segura, tornem-se a última equipe a sobreviver.","Bienvenidos a la Última Zona Segura.
Enfréntense en un área estrecha, en la última zona segura, y conviértanse en el último equipo en sobrevivir.","Добро пожаловать в Последнюю безопасную зону.
Действуйте на узкой территории, в последней безопасной зоне, и станьте последней выжившей командой.","Bienvenue dans la Dernière Zone de Sécurité.
Engagez-vous dans une zone étroite, jusqu'à la dernière zone de sécurité, et devenez la dernière équipe à survivre.","Son Güvenli Bölge'ye hoş geldiniz.
Dar bir alanda mücadele edin, son güvenli bölgeye ulaşın ve hayatta kalan son takım olun.","अंतिम सुरक्षित क्षेत्र में आपका स्वागत है।
एक संकरे क्षेत्र में प्रवेश करें, अंतिम सुरक्षित क्षेत्र में पहुँचकर, जीवित रहने वाली अंतिम टीम बनें।","أهلاً بكم في منطقة الأمان الأخيرة.
انخرطوا في منطقة ضيقة، ومع منطقة الأمان الأخيرة، كونوا الفريق الأخير الناجي.","শেষ নিরাপদ অঞ্চলে স্বাগতম।
একটি সংকীর্ণ এলাকায় নিযুক্ত, চূড়ান্ত নিরাপদ অঞ্চলের সাথে, বেঁচে থাকার শেষ দল হয়ে উঠুন।"
TUT_S2,"Your team's point is highlighted.
Each time your team survives to the last, you get one point.","您的隊伍得分將會被高亮顯示。
每當您的隊伍存活到最後，您就會獲得一分。","คะแนนของทีมคุณจะถูกไฮไลต์ไว้
ทุกครั้งที่ทีมของคุณรอดจนเหลือคนสุดท้าย คุณจะได้รับหนึ่งคะแนน","Đội của bạn sẽ được đánh dấu.
Mỗi khi giành chiến thắng, đội bạn sẽ được một điểm.","Poin tim Anda akan disorot.
Setiap kali tim Anda bertahan hingga akhir, Anda mendapatkan satu poin.","O ponto da sua equipe é destacado.
Cada vez que sua equipe chega ao final, você ganha um ponto.","El punto de tu equipo queda resaltado.
Cada vez que tu equipo sobrevive hasta el último punto, obtienes un punto.","Очко вашей команды подсвечивается.
Каждый раз, когда ваша команда доживает до конца, вы получаете одно очко.","Le point de votre équipe est mis en évidence.
Chaque fois que votre équipe survit jusqu'à la fin, vous gagnez un point.","Takımınızın puanı vurgulanır.
Takımınız sonuncuya kadar her ulaştığında bir puan kazanırsınız.","आपकी टीम का अंक हाइलाइट किया जाता है।
हर बार जब आपकी टीम आखिरी तक टिकती है, तो आपको एक अंक मिलता है।",سيتم إبراز نقطة فريقك. في كل مرة ينجو فيها فريقك حتى النهاية، تحصل على نقطة واحدة.,"আপনার দলের পয়েন্ট হাইলাইট করা হয়.
প্রতিবার আপনার দল শেষ পর্যন্ত টিকে গেলে, আপনি একটি পয়েন্ট পাবেন।"
TUT_S3,Click in your team to see leaderboard details.,點擊您的團隊即可查看排行榜詳情。,คลิกในทีมของคุณเพื่อดูรายละเอียดกระดานผู้นำ,Nhấn chọn vào đội của bạn để xem chi tiết bảng điểm.,Klik tim Anda untuk melihat detail papan peringkat.,Clique na sua equipe para ver os detalhes da tabela de classificação.,Haz clic en tu equipo para ver los detalles de la clasificación.,"Щелкните по своей команде, чтобы увидеть детали таблицы лидеров.",Cliquez sur votre équipe pour voir les détails du classement.,Liderlik tablosunun ayrıntılarını görmek için takımınıza tıklayın.,लीडरबोर्ड विवरण देखने के लिए अपनी टीम पर क्लिक करें।,انقر على فريقك لرؤية تفاصيل لوحة المتصدرين.,লিডারবোর্ডের বিশদ বিবরণ দেখতে আপনার দলে ক্লিক করুন।
